审查ID	step	自动分层	uid	问题	gold	模型答案	证据标签	答案标签	人工审查说明
S4-miss_valid-01	4	miss_valid	c3f39042-2e89-4638-a83e-7cc1b265339c	Are Osbeckia and Miscanthus both plants?	yes	Yes, both Osbeckia and Miscanthus are plants.	I	C	仅证实 Miscanthus 是植物，未检索 Osbeckia；yes 正确但支持不足
S4-miss_valid-02	4	miss_valid	aa8b47dd-64ad-45db-9016-ed0626d0db16	Where does the state where the first caucus is held for each presidential campaign, ranked in wind energy production?	seventh in the country	Iowa is ranked first in wind energy production, but the exact location of the first caucus for each presidential campaign is not specified in the search results.	I	W	未得到 Iowa 的第七名排名，错误回答第一
S4-miss_valid-03	4	miss_valid	b39952ff-a264-480a-bf28-c83972959994	Are Tabu Ley Rochereau and Sheldon Rampton of the same nationality?	no	Tabu Ley Rochereau and Sheldon Rampton are of different nationalities.	S	C	两个人物条目足以组合出不同国籍；no 不会原样出现在 passage
S4-miss_valid-04	4	miss_valid	dc3ebf0e-e685-4105-97ce-588dee9a4a09	When was Countess Palatine Hedwig Elisabeth Of Neuburg's husband born?	2 November 1667	Helmut von Neuburg was born on 18 July 1673.	I	W	只找到妻子与丈夫姓名，未取得丈夫 1667-11-02 出生日期
S4-miss_valid-05	4	miss_valid	e3111fc5-4d47-48e0-b9b5-cb72508b649c	What monthly magazine focuses on science and technology?	BBC Focus	Scientific American	I	W	泛化检索得到多个科技杂志，未命中 BBC Focus
S4-miss_valid-06	4	miss_valid	93d0c4e1-c538-44a2-8f16-6c3fce5b07d6	who was the burned guy in winter soldier?	Frank Grillo as Brock Rumlow	Bucky Barnes	I	W	误把 Winter Soldier 本人当作被烧伤的 Brock Rumlow
S4-miss_valid-07	4	miss_valid	4e424186-cf94-447f-be05-00d736243d13	Who does the person a lot of modern pop artists grew up listening to play in A League of Their Own?	taxi dancer ``All the Way ''Mae Mordabito	The Peaches	I	W	只检索影片条目，未完成歌手到角色 Mae Mordabito 的链路
S4-miss_valid-08	4	miss_valid	49e63ee0-e8c3-47b6-ae3c-243e5bba8562	What explorer accurately mapped the coasts of the continent where Friesland is found, and the African region where the WINEP bundles the countries of Northwest Africa?	Piri Reis	Maarten Gerritsz Vries	I	W	检索到姓名近似的荷兰探险家，未找到 Piri Reis
S4-miss_valid-09	4	miss_valid	0a157044-4fa9-4291-a45b-e7246d63826f	When did the director of film Diane Of The Green Van die?	March 26, 1944	The death date of Diane of the Green Van is not available in the provided dataset.	I	W	错搜 Diane 同名条目，未识别影片导演及死亡日期
S4-miss_valid-10	4	miss_valid	463a61f2-3520-49a7-9e16-3b03234b4d69	Which film has the director born first, Meet Miss Bobby Socks or Bad Eggs?	Meet Miss Bobby Socks	Stephen Frears was born first.	I	W	只搜一位错误导演，未比较两部影片导演出生日期
S4-miss_invalid-01	4	miss_invalid	bbacb368-3dd1-4550-aaae-97d767e590a0	when is beowulf believed to have been written?	c. 700–1000 AD		S	N	证据给出约 7 世纪至 11 世纪的写作年代范围，可支持 gold 近似区间，但未答
S4-miss_invalid-02	4	miss_invalid	c9fe5b14-5db1-4fbf-b10a-f0ae44ca4770	Which mountain range separates kinnaur and spiti from the place Yiu Yung-chin claimed the Ming did not possess?	Himalaya mountains | Himalaya | Himalayas | Himalaya Mountains		I	N	检索错误山脉，未找到 Himalayas
S4-miss_invalid-03	4	miss_invalid	9a7bd207-af59-462f-8576-146f15ee0ff5	when do they stop selling beer in kansas?	2 AM		I	N	酒类法规条目未给 2 AM 截止时间，未答
S4-miss_invalid-04	4	miss_invalid	a9f92787-520b-4701-904a-f0facaad860f	In their 72nd season this NBA team aquired an American professional basketball player who was named NBA Rookie of the Year in what year?	2011		I	N	重复宽泛 query，未识别球队、球员和 2011 Rookie 年份
S4-miss_invalid-05	4	miss_invalid	56158bf9-03ef-4127-97d9-4acf97c9da78	Juggernaut was a film starring the actor and singer of what nationality?	Irish		I	N	将影片名检索成漫画和乐队，未找到 Irish 演员歌手
S5-hit_valid-01	5	hit_valid	7236ae6a-4aab-4d2d-907e-39a75558c16b	Who are the two leaders of the opposition in the Canadian province having Southdale?	Wab Kinew	The two leaders of the opposition in the Canadian province having Southdale are Doug Martindale and Jennifer Howard.	S	W	证据明确 Southdale 在 Manitoba 且 Wab Kinew 是反对党领袖，模型答错人物
S5-hit_valid-02	5	hit_valid	4b831345-2eb7-40aa-94bb-19067ffa39e3	Where are the San Juan Mountains in the state where Piedra Vista High School is located?	northwestern New Mexico | New Mexico | New Mexico, United States	The San Juan Mountains are in New Mexico, specifically in the southwestern part of the state.	S	P	回答包含可接受 gold New Mexico，但把 northwestern 错写为 southwestern
S5-hit_valid-03	5	hit_valid	aa6530b6-8e64-4a6a-906d-230d3c6c8576	The author of Sherry also wrote what cable television series that debuted in 1994?	Inside the Actors Studio	Sherry!	I	W	只在片段中出现 Inside the Actors Studio，未建立作者及“wrote”关系，模型答书名
S5-hit_valid-04	5	hit_valid	2a3eea8a-57b1-43d2-b089-50bd99b733d0	who is the oldest person to have a baby naturally?	71 years	Maria del Carmen Bousada de Lara	A	W	证据同时给自然受孕 59 岁与笼统的 71 岁最高年龄，数据口径冲突；模型答人名
S5-hit_valid-05	5	hit_valid	e7b6469d-4145-4455-ab05-a6af66324037	What is the date of death of Sir Thomas Strickland, 2Nd Baronet's father?	12 July 1673	Sir William Strickland, 1st Baronet died on 12 July 1673.	S	C	父子关系与死亡日期均直接给出；完整句导致 strict EM 失败
S5-hit_valid-06	5	hit_valid	6abfe3e9-8c80-4eb2-8a4c-42d6891e0ed4	what is the rank of india in global hunger index 2017?	100	India ranked 100th in the Global Hunger Index 2017.	S	C	直接给出印度排名 100，完整句导致 strict EM 失败
S5-hit_valid-07	5	hit_valid	b2c14d06-f702-4250-84ca-6cf41388cddc	"Which movie director, known for making movies with contemporary supernatural plots and surprise endings, co-wrote ""Stuart Little"" with Greg Brooker?"	M. Night Shyamalan	Rob Minkoff	S	W	证据中 M. Night Shyamalan 为共同编剧，模型误答导演 Rob Minkoff
S5-hit_valid-08	5	hit_valid	de7075fa-dcdb-438e-a8e5-4bcdb4f11358	who played the little boy in mary poppins?	Matthew Adam Garber	Matthew Garber	S	C	Matthew Garber 是 gold 全名的常用简称，人物关系正确
S5-hit_valid-09	5	hit_valid	14e149e5-5bb8-459c-9c09-cda78bddebdb	What is the name of the American actor who was in Love Takes Wings?	Jordan Bridges	James Reid	S	W	Love Takes Wing 条目明确 Jordan Bridges，模型受相似标题干扰误答 James Reid
S5-hit_valid-10	5	hit_valid	2e8ecb74-68c5-4f82-a144-8ae25cb0900c	When did Chopin return to city now hosting the Jazz Jamboree?	September 1829	March 17, 1830	S	W	证据直接给 September 1829，模型回答错误日期
S5-hit_invalid-01	5	hit_invalid	3641e1c7-fa30-467d-a841-161db3789d72	who was killed on the ides of march?	Julius Caesar		S	N	直接说明 Julius Caesar 遇刺，但未形成闭合答案
S5-hit_invalid-02	5	hit_invalid	c858daf4-7676-4d5c-be4a-162a873b06b5	when does the house of cards new season start?	November 2, 2018		S	N	直接给出 House of Cards 第六季 2018-11-02，上限搜索后仍未答
S5-hit_invalid-03	5	hit_invalid	65f76435-1796-4c0d-85a9-54d4a25bd51a	Lynda Bird Johnson Robb is the oldest living child of a U.S. President following the death of a United States Army officer who served as the United States Ambassador to where?	Belgium		S	N	John Eisenhower 的军官、总统子女及驻比利时大使链路完整，但未答
S5-hit_invalid-04	5	hit_invalid	34af680c-69b7-48d5-965f-20b073a7ce98	who was the father of mary in the bible?	Joachim		A	N	证据说明 Joachim 来自教会传统且不见于 Bible，问题前提与 gold 口径冲突
S5-hit_invalid-05	5	hit_invalid	0381c2f0-afdd-49fa-9ea7-a4f2e9e58081	who is on the top 10 most wanted list?	Eduardo Ravelo | Alejandro Castillo | Jesus Roberto Munguia | Alexis Flores | Santiago Villalba Mederos | Jason Derek Brown | Bhadreshkumar Chetanbhai Patel | Robert William Fisher | Yaser Abdel Said		I	N	只出现 wanted list 中一个候选，无法回答开放式复数问题
S5-miss_valid-01	5	miss_valid	5c587be9-c558-4091-800a-32e7edf17e82	Which alumni is featured in the Jordan Brand Classic?	Kevin Durant.	Chris Paul, Carmelo Anthony, Blake Griffin, Kyrie Irving, LeBron James, Kevin Durant, Anthony Davis, Andrew Wiggins, Corey Brewer, Jordan Farmar, Daniel Gibson, LaMarcus Aldridge, Rudy Gay	S	P	证据明确 Kevin Durant 是 alumni；模型输出包含 gold 但罗列过多候选
S5-miss_valid-02	5	miss_valid	af5593b1-9968-4079-a2fa-d5c6e32f1086	What is the date of birth of the director of film The Lady From Texas?	September 15, 1911	Tim Whelan was born on August 22, 1948.	I	W	混淆片名并检索错误同名人物，出生日期错误
S5-miss_valid-03	5	miss_valid	df67317e-5704-4526-9779-c29f24512135	Which county shares a border with the county Warsaw Township is located in?	Indiana County	Jefferson County	I	W	只识别 Warsaw Township 位于 Jefferson County，未检索相邻 Indiana County
S5-miss_valid-04	5	miss_valid	115b481b-5892-4724-9d96-4df964c12386	What number is the school where Margaret Murray was educated ranked among the world's best colleges and universities?	5th	Murray State University is ranked 35th overall among all regional universities in the South by U.S. News & World Report.	I	W	把 Margaret Murray 误关联 Murray State，学校与排名均错误
S5-miss_valid-05	5	miss_valid	84fe6123-a5cd-4860-86a8-62fc20a2ab9d	What was the first public hospital founded in the country winning the battle of El Bracito?	Bellevue Hospital | Bellevue	San Hipólito Hospital	I	W	错误判断 El Bracito 所属国家，转向墨西哥医院
S5-miss_valid-06	5	miss_valid	d1612ff3-c8c5-4767-86e6-fa69c7235c7e	William M. Steele attended a school housed in where?	Roosevelt Hall	Webster University	I	W	同名实体检索失败，未找到 Roosevelt Hall
S5-miss_valid-07	5	miss_valid	2a39eda0-5ffc-4c84-b2b0-a27e1439c5c7	When was the country where Bernardo de Balbuena died declared a U.S. territory?	1898	December 10, 1898	I	C	1898 日期与 gold 年份语义一致，但可见证据未建立 Puerto Rico 领地日期
S5-miss_valid-08	5	miss_valid	3feadde6-e581-4ea5-a4fb-23507693918b	"The Blink-182 song ""Ghost on the Dance Floor"" was speculated to be inspired by the death of a DJ that died in what year?"	2009	2008	I	W	只识别 DJ AM，未检索其 2009 去世年份
S5-miss_valid-09	5	miss_valid	7a84c0b3-b7c7-4427-8182-0aab22cc341f	Who was the leader of the Autobots voiced by?	Peter Cullen and Hugo Weaving	Garry Chalk	A	W	不同 Transformers 版本对应 Garry Chalk、Peter Cullen 等配音，问题版本限定不足
S5-miss_valid-10	5	miss_valid	79052e1a-974d-4a04-b6d1-741cf3b2dd0b	What is the record label of the artist who released the Rapper Gone Bad album?	Thizz Entertainment	Bad Boy Records	I	W	检索错误唱片公司，未找到 Mac Dre 与 Thizz Entertainment
S5-miss_invalid-01	5	miss_invalid	dc82a931-0c7f-4058-925d-44823bb3548c	how many types of skin color are there?	VI		I	N	只检索一般肤色内容，未找到 Fitzpatrick VI 类型体系
S5-miss_invalid-02	5	miss_invalid	5ffdea6e-5e3e-4944-ba9c-f26f67336de8	important in facilitating the conversion of american industry to mass production was?	The development of machine tools | the system of interchangeable parts		I	N	检索工业革命与量产定义，未取得 machine tools/interchangeable parts 关键句
S5-miss_invalid-03	5	miss_invalid	43356918-8491-48d2-b0df-366c065f4839	Do both films: Too Many Parents and The Central Park Five have the directors from the same country?	yes		I	N	只找到 Central Park Five 导演，缺 Too Many Parents 导演国籍
S5-miss_invalid-04	5	miss_invalid	feec57fc-9ce8-47d0-9a52-5e26d70bc390	What dates will the games preceded by the 2017 games scheduled in Fokuoka, Japan occur?	August 24 to 31, 2019		I	N	将 Fukuoka 赛事误搜成亚洲冬季运动会，日期链路失败
S5-miss_invalid-05	5	miss_invalid	db83f363-ddc6-4c72-a93e-0f5b289a69d3	Where are the badlands located in the state where Aurora Township is found?	western North Dakota | North Dakota | ND		I	N	Aurora Township 检索到 Minnesota/Illinois，未定位 North Dakota 目标实体
S6-hit_valid-01	6	hit_valid	8578b47e-7107-4cd4-9407-9096a190284c	who does the voice for how its made?	Brooks Moore	Brooks Moore and Tony Hirst	S	P	证据支持 Brooks Moore，模型又加入未受支持的 Tony Hirst
S6-hit_valid-02	6	hit_valid	db4b0dae-30fb-4c79-8f9e-14772fb631ce	which acid is used to write on glass?	hydrofluoric acid	Hexafluorosilicic acid (HSiF)	S	W	玻璃蚀刻与 hydrofluoric acid 条目可支持 gold，模型误答另一种酸
S6-hit_valid-03	6	hit_valid	6ad1d726-6e87-41b2-8092-ca4dc56fd895	when are spermatozoa transported from the vas deferens to the abdominal urethra?	ejaculation	Spermatozoa are transported from the vas deferens to the abdominal urethra during ejaculation.	S	C	证据明确 ejaculation 期间输送，完整句导致 strict EM 失败
S6-hit_valid-04	6	hit_valid	c08d6c4d-f183-43fe-a562-c3452d70ade4	Which musician performed with Stephen Malkmus and the Jicks, Jon Spencer or Stephen Malkmus?	Stephen Joseph Malkmus	Stephen Malkmus	S	C	Stephen Malkmus 与全名 gold 为同一人，简称可接受
S6-hit_valid-05	6	hit_valid	7670f579-403b-49eb-b8ce-00ae76666d8b	Edsger Wybe Dijkstra (] ; 11 May 1930 – 6 August 2002) was a Dutch computer scientist and an early pioneer in many research areas of computing science who held the Schlumberger Centennial Chair in Computer Sciences at the University of Texas at Austin from 1984 until his retirement in 1999, he was a professor of mathematics (1962–1984), at which university of technology located in Eindhoven, Netherlands?	Eindhoven University of Technology	Edsger Wybe Dijkstra was a professor of mathematics at the Eindhoven University of Technology.	S	C	教授任职学校直接给出，完整句导致 strict EM 失败
S6-hit_valid-06	6	hit_valid	651cd733-3bf3-4b3c-84ed-c6c32896feab	when was the last mini cooper s made?	4 October 2000	1971	A	W	证据同时给 1971 Cooper S 停产和 2000 Mini 总生产结束，问题“last”口径有歧义
S6-hit_valid-07	6	hit_valid	bad1342e-4e3b-47e0-9eea-b15a27575b37	"What film won an award at the 2002 Cannes Film Festival and was based on the autobiographical book ""The Pianist""?"	The Pianist	The Pianist (2002 film)	S	C	影片、原著与奖项关系充分，括号消歧不影响语义
S6-hit_valid-08	6	hit_valid	0d213b45-616c-455d-a801-bb1cb528b8f0	what county is port saint lucie florida in?	St. Lucie County	St. Lucie County, Florida	S	C	St. Lucie County 直接命中，附加 Florida 不影响语义
S6-hit_valid-09	6	hit_valid	4faa17a6-5dca-450a-9f78-fc8c25b5534c	who had the flag first texas or chile?	Chile	Chile had the flag first	S	C	证据直接比较 1817 与 1839，答案正确
S6-hit_valid-10	6	hit_valid	623e31a5-66ad-4ca1-bdfb-f1bf14357989	which political party has dominated japanese politics since the end of world war ii?	the LDP	Liberal Democratic Party (LDP)	S	C	LDP 全称与缩写均明确，语义正确
S6-hit_invalid-01	6	hit_invalid	f1adb08e-6643-416c-80e7-0b1de9bfb632	who plays the baker in into the woods?	James Corden		S	N	James Corden 饰演 Baker 的证据充分，但未形成答案
S6-hit_invalid-02	6	hit_invalid	41bd4a4d-2b88-4327-a940-aa0e59a87fa8	Like the Baltoro Kangri, K12 is present in what range of mountains?	Karakoram mountain range		I	N	只证明 Baltoro Kangri 属 Karakoram，未证明 K12 也属于该山系
S6-hit_invalid-03	6	hit_invalid	3d006ea0-b62a-4782-b7bf-e4609871d805	when is lost in space being released on netflix?	April 13, 2018		S	N	发布日期在多条 passage 中直接出现，重复五次后未答
S6-hit_invalid-04	6	hit_invalid	d740fe0e-4b69-44df-96dd-da96ff5d7091	Who is American Airlines partner headquartered in Barnstable Municipal Airport.	Cape Air		I	N	只证明 Cape Air 总部地点，未显示与 American Airlines 的合作关系
S6-hit_invalid-05	6	hit_invalid	a7b50020-953b-47fe-b40d-e808a14eadbb	What song about a medical student named Maxwell Edison who commits murders with a hammer was first issued a single in Central America?	Maxwell's Silver Hammer		S	N	歌曲标题和题述内容直接匹配，但未答
S6-miss_valid-01	6	miss_valid	28fef5f9-87de-4c16-9286-5b7b0e642ea2	Are both high schools, Alabama School Of Fine Arts and Dover High School (New Jersey), located in the same country?	yes	Both Alabama School of Fine Arts and Dover High School (New Jersey) are located in the United States.	I	C	只检索 Dover High School，未检索 Alabama School；yes 正确但证据不完整
S6-miss_valid-02	6	miss_valid	a8e628e7-e85d-47ac-acd0-de7d01618d0d	Who was the quarterback of the team which Ryan Fitzpatrick played for when they won the Super Bowl?	Brad Johnson	Tampa Bay Buccaneers	I	W	只识别 Fitzpatrick 在 Buccaneers，未完成冠军赛季 quarterback 链路
S6-miss_valid-03	6	miss_valid	26d12b5d-ad50-4ff1-9ab6-db0b728bf2e0	What is the tallest structure in the country where Aksar is located?	the twin towers of the Bahrain Financial Harbour | Bahrain Financial Harbour	The tallest structure in Turkey is the Seljuk Tower, which stands at 163 meters (535 feet) tall.	I	W	把 Aksar 定位到错误国家，后续最高建筑回答错误
S6-miss_valid-04	6	miss_valid	23d27270-711f-4735-86b1-acf41e93713f	When did Ryang Chun-hwa's birthplace experience the arrival of the torch?	April 28	The arrival of the torch in Ryang Chun-hwa's birthplace (Mudanjiang, Heilongjiang, China) is not mentioned in the provided evidence.	I	W	检索错误火炬事件，未取得 April 28
S6-miss_valid-05	6	miss_valid	44459296-6e57-4cec-a0cd-2cfc8f0356f4	When is the new album coming out from the Sing Like Me performer?	October 31, 2017	April 13, 2018	I	W	被相似歌名 Woman Like Me 干扰，未找到 Sing Like Me 演唱者新专辑日期
S6-miss_valid-06	6	miss_valid	04e548e5-1b99-4d76-a299-89e0d6398933	When did WW2 end in the country that seized Libya from the main subject of the Ottoman era in the history of Rila's country?	July 1943	1943	I	P	只取得 1943 年而缺 July 和完整国家链路，部分命中 gold
S6-miss_valid-07	6	miss_valid	909917e7-4b1b-47eb-96e3-313429c3ec63	Are Personal Maid'S Secret and River Of Grass both from the same country?	yes	River of Grass is from China, but Personal Maid'S Secret's country is not specified in the provided search results.	I	W	未检索 Personal Maid's Secret，且错误判断 River of Grass 国家
S6-miss_valid-08	6	miss_valid	704b5668-afca-4d84-87aa-39a78b3351fd	Who wrote the libretto for an opera directed by Thaddeus Strassberger?	Jacopo Ferretti	Giuseppe Verdi	I	W	列出多个歌剧但未定位目标作品与 Jacopo Ferretti
S6-miss_valid-09	6	miss_valid	51873130-1e3a-4b41-979f-0a84788ab4bd	Did Gregg Rolie and Gaz Coombes both play for Santana?	no	Gregg Rolie was a member of Santana, but Gaz Coombes was not.	I	C	只证明 Gregg Rolie 属 Santana，未检索 Gaz Coombes；no 正确但证据不完整
S6-miss_valid-10	6	miss_valid	585c9977-3619-4106-b4cb-b31779a4b2a3	When did the birthplace of Ganju Lama become an Indian state?	the 36th Amendment	Sangmo became part of India in 1947 when Sikkim was integrated into the Indian Union.	I	W	只确认出生地 Sikkim，未检索成为印度邦的 36th Amendment
S6-miss_invalid-01	6	miss_invalid	a027bf9f-09e0-4e62-96f8-e631395fb7b3	most points scored by a single team in an nba game?	186 points		I	N	检索成球员个人 100 分纪录，未找到球队单场 186 分
S6-miss_invalid-02	6	miss_invalid	827399f3-1b35-4516-9236-40540ce86a64	"Who published the video game that ""Ms. Crumby"" was used in?"	Ubisoft		I	N	未找到 Ms. Crumby 对应游戏及 Ubisoft
S6-miss_invalid-03	6	miss_invalid	ec0c41be-ff78-4d3c-a085-9a38bf1af715	To which country was the historical figure used for the basis of the novel Strandloper transported to?	Australia		I	N	格式错误导致搜索未执行，无证据无答案
S6-miss_invalid-04	6	miss_invalid	5ce1abf7-0d1a-4797-8da5-894be4934ce7	"What seventh ""Nimitz""-class nuclear-powered supercarrier did Sibel Catherine Galindez née Ergener meet her husband on?"	USS John C. Stennis		I	N	检索无关人物，未找到 USS John C. Stennis
S6-miss_invalid-05	6	miss_invalid	ca963408-f398-4b45-9dfe-61429f838f4a	who said a little learning is a dangerous thing?	Alexander Pope		I	N	重复宽泛学习 query，未找到 Alexander Pope
S7-hit_valid-01	7	hit_valid	0cdb9783-4664-4ee9-9a59-f36a1974a210	largest stock exchanges in africa by market capitalisation?	EGX | Casablanca Stock Exchange | Nigerian Stock Exchange | 4 African Exchange | Zimbabwe Stock Exchange | Namibian Stock Exchange | Johannesburg Stock Exchange	Nigerian Stock Exchange is the largest stock exchange in Africa by market capitalization, with a total market capitalization of over ₦13 trillion as of 2018.	S	W	证据说明 Nigerian Exchange 仅为非洲第三，模型却答最大；多答案问题也未完整作答
S7-hit_valid-02	7	hit_valid	a404ed1a-054c-4755-b992-ff5b04597eb5	when did the wise man's fear come out?	March 1, 2011	The Wise Man's Fear was released on March 1, 2011.	S	C	发布日期直接给出，完整句导致 strict EM 失败
S7-hit_valid-03	7	hit_valid	d12668e6-8329-447b-8ee6-597a507bd7b4	among the leaders of the english peasants' revolt of 1381 was/were?	Wat Tyler	John Ball, John Wrawe, and Jack Straw	S	P	证据列出多位起义领袖，回答给出部分合理名单但遗漏数据集 gold Wat Tyler
S7-hit_valid-04	7	hit_valid	34f4705c-09ac-4b2a-b388-fc266c378d78	who was the founder of nepal red cross society?	Princess Princep Shah of Nepal	Princess Princep Shah	S	C	Princess Princep Shah 与 gold 同一人，省略 Nepal 不影响语义
S7-hit_valid-05	7	hit_valid	8cf468ab-38f6-49d6-a0ee-8be9003ae9de	who has the most around the horn wins?	Woody Paige	"The information provided does not specify a particular person who has the most ""around the horn"" wins."	S	W	条目指向 Woody Paige 的历史最多胜场，模型错误宣称无信息
S7-hit_valid-06	7	hit_valid	0fff8fcf-7ee8-428d-bfcd-b5d7bbec1256	who was given the ten commandments by god?	Moses	God	S	W	Moses 与 Ten Commandments 的关系足以回答，模型把给予者 God 当成接受者
S7-hit_valid-07	7	hit_valid	2cf8d470-0015-4d34-a148-cabefadcd418	when did july 4th become a paid federal holiday?	1938	July 4th became a paid federal holiday in 1776.	I	W	1938 在片段中指 Armistice Day，未支持 July 4 paid holiday；模型答 1776
S7-hit_valid-08	7	hit_valid	4b6bc67a-6711-444d-8d9e-dab6c6ff2472	when was the rocky horror picture show released?	14 August 1975	The Rocky Horror Picture Show was released on August 14, 1975, in the UK and September 26, 1975, in the US.	S	C	直接给出英国 1975-08-14，附加美国日期不改变核心答案
S7-hit_valid-09	7	hit_valid	7edcc35a-2b62-426c-8efa-d1c3d4a6f65e	what is the name of the latest version the OS of the company that manufactures iPods?	macOS | Mac OS | MacOS | OS X | Mac OS X	macOS Mojave	S	C	macOS Mojave 是证据所称最新 macOS 版本，回答比 gold 更具体
S7-hit_valid-10	7	hit_valid	a6d9b878-57b2-4217-b6e7-38c6628dfe01	What wrestler besides Kairi Hojo and 岩谷 麻優 is known as part of the three best wrestlers in the world?	Io Shirai	Mayu Iwatani	S	W	证据明确第三人是 Io Shirai，模型重复已在题中的 Mayu Iwatani
S7-hit_invalid-01	7	hit_invalid	a18a3699-afaf-49b5-8baa-b8d98d5b6f14	what is the mascot for the university of st louis?	the Billiken		S	N	证据直接给 Saint Louis University mascot 为 Billiken，重复搜索后未答
S7-hit_invalid-02	7	hit_invalid	fef39d3d-57dd-44a3-9832-652493f455c9	who does the voice of the gecko on geico?	Jake Wood		S	N	直接给 Jake Wood 为 gecko 配音，但未答
S7-hit_invalid-03	7	hit_invalid	9f755f80-01eb-497c-bd82-e786790e146f	who did the state of the union 2017?	Donald Trump		S	N	2017 Trump 联席会议演讲证据充分，但未答
S7-hit_invalid-04	7	hit_invalid	4a72894b-e560-4864-804d-59af246034fa	red flag is the newspaper of which country?	China		A	N	检索结果同时有中国 Red Flag 杂志与玻利维亚同名报纸，问题媒介/国家口径不清
S7-hit_invalid-05	7	hit_invalid	62282a97-9dad-44b4-a31a-37b4c96db432	when does season 2 of seven deadly sins?	February 17, 2017.		S	N	直接给 Season 2 于 2017-02-17 发布，但未答
S7-miss_valid-01	7	miss_valid	1df3ef8f-984b-4935-aeab-8ce5a1e52fa8	What was founded by the performer of Americano?	Lady Gaga Fame	American Classical Orchestra	I	W	被 Americano/americano 词形干扰，未识别 Lady Gaga 及其品牌
S7-miss_valid-02	7	miss_valid	a1497b39-11e0-4aa6-931e-b5623ab35eae	how many assist does ozil have in his career?	25	50 assists	A	W	“career assists”缺联赛和统计时点，证据给 50 而 gold 为 25，口径冲突
S7-miss_valid-03	7	miss_valid	87b08524-c3da-4bfd-9515-9405402247a1	Brian Hamilton was born at a hospital located in a village incorporated in what year?	1896	1842	I	W	检索错误 Hamilton 实体和 township，未找到目标医院村庄
S7-miss_valid-04	7	miss_valid	956e68e2-40e1-4853-a29d-1a78a357d34f	Do Bruno Mattei and Gianni Amelio have the same profession?	yes	Both Bruno Mattei and Gianni Amelio are film directors.	S	C	两位人物都明确是 film director；yes 需比较推导且不会原样出现
S7-miss_valid-05	7	miss_valid	578bfdb8-925e-428a-b3d1-b1c0f210485e	Who wrote and produced the R&B hit single which was featured as #69 in Billboards magazines Top Hot 100 songs of 1983?	Jimmy Jam & Terry Lewis	Michael Jackson	I	W	未识别 1983 排名第 69 的目标单曲与 Jimmy Jam/Terry Lewis
S7-miss_valid-06	7	miss_valid	9c10d483-d1d7-4c6a-81a3-a2baadd9ed05	Who was born first, Ricardo Thomas or Matt Goff?	Matt Goff	Information not available	I	W	同名人物检索失败，无法比较出生日期
S7-miss_valid-07	7	miss_valid	6290b39a-c01c-4bd3-9c28-1e688663fc73	Do the movies Love At Sea (1936 Film) and Many Kisses Later, originate from the same country?	no	Love At Sea (1936 Film) is from the Soviet Union, while Many Kisses Later is from the United States.	I	W	检索的是其他近似片名，两个国家判断无支持
S7-miss_valid-08	7	miss_valid	1db7cd9c-ccf9-4d53-a239-95193da68447	what was the total 2016 presidential election vote of volusia county?	100.00%	Volusia County's 2016 presidential election vote count is not provided in the search results.	I	W	只找到 Florida 全州结果，未取得 Volusia County 表格的 100%
S7-miss_valid-09	7	miss_valid	748d8e79-babd-4729-b3d3-3f5c17435fa9	What novel features the historical period commonly described as occurring between 1947-1991?	The Night of Wenceslas	Century (novel)	I	W	未识别 Cold War 与 The Night of Wenceslas，选择错误小说
S7-miss_valid-10	7	miss_valid	9d226e0a-4fcd-49f0-b72a-044577141c43	The Melbourne Vixens play thier home games at Hisense Arena and another arena built in what year?	1987	2008	I	W	只识别两座主场馆，未检索另一场馆建成年份
S7-miss_invalid-01	7	miss_invalid	3c4605ba-0013-4b5d-a7b0-7af75ca7af3e	Are Shahrak-E Shomali and Taqiabad, Mazandaran both located in the same country?	yes		I	N	格式错误导致搜索未执行，无证据无答案
S7-miss_invalid-02	7	miss_invalid	6bada57c-5d9b-400a-ac10-2ec1f6876d13	Who dropped out of the alma mater of the man who owns the gold spike in the city where The Killers was founded and became the person many refer to as the founder of public relations?	Basil Clarke		I	N	复杂链路第一跳即失败，未找到 Basil Clarke
S7-miss_invalid-03	7	miss_invalid	1b07b4a4-b8ea-4d19-b2c8-09a830bbbee4	who led the nba in steals this year?	Draymond Green		A	N	“this year”缺训练语境时点，检索混入多个赛季且未找到 Draymond Green
S7-miss_invalid-04	7	miss_invalid	bd81ef0a-2cf6-46f7-bf62-a7c78eed19f0	who has won the most little league world series?	Taiwan		I	N	只找到赛事一般信息，未取得台湾累计冠军纪录
S7-miss_invalid-05	7	miss_invalid	7b3335e5-7f9e-4f8c-8250-f6be8b26c138	"What film directed bySalvatore Samperi original name was Malizia italian for "" malice""?"	Malicious		I	N	格式错误导致搜索未执行，无证据无答案
S8-hit_valid-01	8	hit_valid	fc26cea5-52db-47cd-9f40-7c44d9e3dbd2	when did the first car seat come out?	in the early 1900s	The first car seat is not explicitly mentioned in the provided search results, so the exact release date cannot be determined from the available information.	I	W	early 1900s 描述第一辆汽车而非第一款儿童座椅，是字面 gold 假命中
